Num	Loc	Z 3.5	Z 4.4144	Z 5.3288	Z 6.2432	Z 7.1576	Z 8.072	Z 8.9864	Z 9.9008	Z 10.8152	Z 11.7296	Z 12.644
147	300.9508	914.3658	914.3057	914.1755	914.0989	914.0425	913.973	913.9687	913.9647	913.9553	913.9561	913.956
148	301.8652	914.3674	914.3102	914.1774	914.108	914.0057	913.9661	913.9691	913.9642	913.9861	913.965	913.9794
149	302.7796	914.3748	914.3088	914.158	914.0551	913.9706	913.9457	913.9663	913.9886	913.9868	913.9759	913.9936
150	303.694	914.3779	914.3314	914.1954	914.0571	913.9579	913.9578	913.9833	913.9779	913.9932	913.9529	913.9642
151	304.6084	914.3703	914.3312	914.217	914.0732	913.9569	913.9442	913.9734	913.9734	913.973	913.9301	913.9821
152	305.5228	914.3604	914.291	914.1575	914.0621	913.9801	913.9708	913.9733	913.9565	913.9512	913.9101	913.9342
153	306.4372	914.3627	914.3035	914.1674	914.0695	913.9985	913.981	913.9943	913.9677	913.955	913.9178	913.9219
154	307.3516	914.3622	914.3149	914.1695	914.0486	914.0052	913.9883	913.9961	913.9692	913.9584	913.9341	913.9684
155	308.266	914.3566	914.2909	914.1846	914.0011	913.9925	913.9773	913.9928	913.9674	913.961	913.937	913.9855
156	309.1804	914.3542	914.2971	914.1867	914.0566	913.9935	913.9583	913.9995	913.964	913.9572	913.9118	913.9448
157	310.0948	914.361	914.3105	914.1984	914.0571	914.0013	913.9799	913.9914	913.972	913.9789	913.9948	913.988
158	311.0092	914.3619	914.2951	914.1979	914.0507	914.0222	913.9857	913.9846	914.0015	913.9889	913.9868	913.9979
159	311.9236	914.3585	914.3294	914.2031	914.0599	914.0098	913.9803	913.9991	914.0108	914.0192	913.9871	914.0782
160	312.838	914.35	914.325	914.1935	914.0532	914.0027	913.9756	913.9755	913.9882	913.9832	913.9905	914.0681
161	313.7524	914.3121	914.2908	914.1947	914.0242	913.9765	913.9406	913.9597	913.9441	913.9367	913.9501	913.9868
162	314.6668	914.308	914.2957	914.1855	914.047	913.9787	913.9426	913.9442	913.929	913.9401	913.9361	914.0024
163	315.5812	914.3154	914.2977	914.2003	914.0535	914.0026	913.9743	913.9593	913.9653	913.9767	913.9841	914.0221
164	316.4956	914.3099	914.2635	914.1919	914.0942	914.0003	913.982	913.959	913.9738	913.9778	914.011	914.0641
165	317.41	914.3233	914.2375	914.21	914.11	913.9943	913.9793	913.9557	913.9698	913.999	914.016	914.0826
166	318.3244	914.3157	914.2012	914.1956	914.1302	913.9763	913.9588	913.9413	913.9553	913.9904	913.9719	914.0831
167	319.2388	914.3157	914.1893	914.1777	914.1456	914.0282	913.9818	913.9363	913.9513	913.944	913.9797	914.0884
168	320.1532	914.3241	914.2012	914.1605	914.1537	914.0554	914.0204	913.9695	913.98	914.0113	914.0073	914.0375
169	321.0676	914.3273	914.2403	914.1718	914.1437	914.0956	914.0525	914.0231	914.0214	914.0215	913.9827	914.0241
170	321.982	914.3273	914.2394	914.1719	914.1095	914.1021	914.0739	914.0261	914.0185	914.0213	914.0057	914.0291
171	322.8964	914.3226	914.2474	914.179	914.1241	914.0924	914.0859	914.0734	914.0541	914.0162	914.0373	914.0608
172	323.8108	914.3201	914.251	914.1865	914.1277	914.0927	914.0857	914.0829	914.0549	914.0374	914.0273	914.0682
173	324.7252	914.3499	914.2795	914.2264	914.1669	914.1162	914.0739	914.0609	914.0806	914.0677	914.0809	914.084
174	325.6396	914.3454	914.2867	914.2355	914.1785	914.1387	914.0885	914.0627	914.0358	914.0404	914.0657	914.0801
175	326.554	914.342	914.2709	914.2225	914.1794	914.1268	914.0818	914.0495	914.02	913.9758	913.9739	913.9907
176	327.4684	914.3448	914.2764	914.2256	914.1899	914.1468	914.1006	914.0532	914.0317	913.9603	913.9603	913.9722
177	328.3828	914.3486	914.2781	914.2306	914.1811	914.1385	914.0901	914.0454	914.0253	913.9993	913.9791	913.9675
178	329.2972	914.3369	914.2679	914.2077	914.1608	914.1107	914.0602	914.0294	913.996	913.9646	913.9427	913.926
179	330.2116	914.3379	914.2715	914.2063	914.1573	914.1087	914.063	914.027	913.9961	913.963	913.9414	913.9172
